nombre,tipo_unidad,domicilio,asentamiento,ciudad,cp,estado,municipio,no_tel,responsable_puesto,pagina_web,correo_electronico,mineral,realiza,longitud_x,latitud_y,fecha_actualizacion
Agnico Eagle Mines Limited,Grupo,"Blvd. Luis Donaldo Colosio n.° 450, nivel 7. Colonia Metrocentro",Alameda,Hermosillo,83204,Sonora,Hermosillo,662 236 2220,"Amador Montaño Gustavo Ernesto, Director de desarrollo de proyectos / Galindo Ramírez Marco Antonio, Gerente general",www.agnicoeagle.com,gustavo.amador@agnicoeagle.com / marco.galindo@agnicoeagle.com,"Oro, plata","Exploración, explotación",-110.987361,29.093361,apr-25
"Altos Hornos de México, S.A.B. de C.V.",Grupo,Prol. Juárez s/n. Colonia La Loma,La Loma,Monclova,25770,Coahuila de Zaragoza,Monclova,866 649 3000,"Ancira Elizondo Alfonso, Director general",www.ahmsa.com,ventas@ahmsa.com,Fierro,Comercialización,-101.420389,26.886271,apr-25
"ArcelorMittal México, S.A. de C.V.",Grupo,Av. Lázaro Cárdenas n.° 2424. Colonia Residencial San Agustín Primer Sector,Residencial San Agustín Primer Sector,San Pedro Garza García,66260,Nuevo León,San Pedro Garza García,811 223 6700,"M. Cairo Víctor, Director ejecutivo",mexico.arcelormittal.com,victor.cairo@arcelormittal.com,Fierro,Fabricación,-100.333539,25.652099,apr-25
Argonaut Gold Inc.,Grupo,Blvd. Carlos Quintero Arce n.° 24 sur B. Colonia Puerta Grande,Puerta Grande,Hermosillo,83247,Sonora,Hermosillo,662 264 8191,"Young Richard, Presidente CEO",www.argonautgold.com,richasrd.young@argonautgold.com,"Oro, plata",Explotación,-110.995361,29.14375,apr-25
Atsa Minerales,Grupo,Vicente Guerrero n.° 6. Colonia San Juan Ixhuatepec,San Juan Ixhuatepec,Tlalnepantla de Baz,54180,Estado de México,Tlalnepantla de Baz,559 454 0100,"Ricardi Ignacio, Gerente de Administración",atsaminerales.com/,ventas@atsaminerales.com,"Caolín, carbonato de calcio",Transformación de minerales,-99.10411,19.513111,oct-25
Avino Silver & Gold Mines Ltd.,Grupo,Peñón Blanco n.° 125. Colonia Lomas del Parque,Lomas del Parque,Durango,34100,Durango,Durango,618 145 2627,"Wolfin David, Presidente y director ejecutivo",www.avino.com,ir@avino.com,"Cobre, oro, plata",Comercialización,-104.691624,24.016158,apr-25
Bear Creek Mining Corporation,Grupo,"Blvd. José María Morelos n.° 307, edif. F, local 6. Colonia Sacramento",Zona Militar Cuartel XV,Hermosillo,83145,Sonora,Hermosillo,662 215 8100,"McLeod-Seltzer Catherine, Presidente",www.bearcreekmining.com,info@bearcreekmining.com,"Oro, plata","Comercialización, desarrollo minero, exploración, explotación",-110.950146,29.118016,apr-25
"Cemex, S.A.B. de C.V.",Grupo,Av. Ricardo Margain Zozaya n.° 325. Colonia Valle del Campestre,Valle Del Campestre,San Pedro Garza García,66265,Nuevo León,San Pedro Garza García,818 888 8888,"Muguiro Domínguez Jaime, Director general / Toledo Alejandro, Relaciones con inversionistas",www.cemex.com,corporate.communications@cemex.com / alejandro.toledo@cemex.com,"Agregados pétreos, cemento, concreto","Comercialización, distribución de material de construcción",-100.350306,25.650639,apr-25
"Compañía Minera Autlán, S.A.B. de C.V.",Grupo,"Arq. Pedro Ramírez Vázquez n.° 200, int. 10. Colonia Valle Oriente",Del Valle Oriente,San Pedro Garza García,66260,Nuevo León,San Pedro Garza García,818 152 1500,"Rivero González Pedro, Director ejecutivo",www.autlan.com.mx,pedro.gonzalez@autlan.com.mx,"Oro, plata",Explotación,-100.406,25.663,apr-25
"Cooperativa La Cruz Azul, S.C.L.",Grupo,"Anillo Periférico sur n.° 5550, int.5. Colonia Pedregal de Carrasco",Pedregal de Carrasco,Coyoacán,4700,Ciudad de México,Miguel Hidalgo,555 424 9000,"Velázquez Rangel Víctor Manuel, Presidente",www.cruzazul.com.mx,victormanuelvelazquez@cruzazul.com.mx,Cemento,Comercialización,-99.164408,19.30509,apr-25
"Desarrollos Mineros y Voladuras, S.A. de C.V.",Grupo,Prof. Everardo Gamiz n.° 219. Colonia Del Maestro,Del Maestro,Durango,34240,Durango,Durango,618 818 1601,"Alanís Mariscal Rodolfo Evaristo, Director general",www.dmv-mining.com,rodolfoalanis@dmv-mining.com,"Oro, plata, plomo, zinc",Comercialización,-104.638152,24.030395,apr-25
"Elementia Materiales, S.A.B. de C.V.",Grupo,Paseo de las Palmas n.° 781. Colonia Lomas de Chapultepec II Sección,Lomas de Chapultepec II Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,555 728 5300,"Rocha Font Jaime Emilio, Director general",www.elementiamateriales.com,napinag@gcarso.com.mx,Cemento,"Comercialización, fabricación",-99.216677,19.428856,apr-25
"Empresa Contratista en Obras Mineras Jomargo, S.A. de C.V.",Grupo,Prof. Guadalupe Patoni n.° 156. Colonia Del Maestro,Del Maestro,Durango,34240,Durango,Durango,618 818 3516,"Martínez Gómez José, Director general y CEO",www.jomargo.com.mx,jomargo@jomargo.com.mx,"Oro, plata, plomo, zinc",Comercialización,-104.634168,24.031535,apr-25
Endeavour Silver Corp.,Grupo,"Av. Cerro Gordo n.° 201, int. 208. Colonia Las Quintas",Las Quintas,León,37125,Guanajuato,León,477 102 1800,"Dickson Dan, Presidente y CEO",www.edrsilver.com,gmeleguer@edrsilver.com,"Oro, plata",Comercialización,-101.689443,21.16088,apr-25
First Majestic Silver Corp. (Oficina 1),Grupo,"Universidad n.° 234, torre 6. Colonia Lomas del Guadiana",Lomas del Guadiana,Durango,34110,Durango,Durango,604 688 3033,"Neumeyer Keith, Presidente y CEO",www.firstmajestic.com,info@firstmajestic.com,"Oro, plata",Comercialización,-104.680877,24.016023,apr-25
Fresnillo Plc,Grupo,Legarias n.° 549. Colonia 10 de Abril,10 de Abril,Miguel Hidalgo,11250,Ciudad de México,Miguel Hidalgo,555 279 3000,"Alvídrez Octavio, Gerente general",www.fresnilloplc.com,ir@fresnillo.com,"Oro, plata",Comercialización,-99.206916,19.447768,apr-25
Grupo ABC,Grupo,Ctra. Mérida-Pto. Juárez km 309. Colonia Cancún,ABC,Benito Juárez,77539,Quintana Roo,Benito Juárez,998 881 8600,s/i,www.grupoabc.mx,contacto@grupoabc.mx,"Agregados pétreos, caliza","Comercialización, fabricación",-86.90865,21.134562,apr-25
Grupo Bacis,Grupo,Selenio n.° 168. Colonia Ciudad Industrial,Ciudad Industrial,Durango,34208,Durango,Durango,618 814 2524,"Gutiérrez Núñez José Jaime, Presidente y CEO / Gutiérrez Núñez Zeferino, Director de operaciones",www.bacis.com.mx,gpobacis@bacis.com.mx / gpobacis@bacis.com.mx,"Oro, plata",Comercialización,-104.605988,24.068165,apr-25
Grupo Bertrán,Grupo,República de Nicaragua n.° 106. Colonia Bóvedas,Bóvedas,Atotonilco de Tula,42982,Hidalgo,Atotonilco de Tula,800 237 8726,s/i,bertran.com.mx,atencionaclientes@bertran.com.mx,Cal,"Comercialización, fabricación",-99.220679,20.012051,apr-25
Grupo Calidra,Grupo,Av. Lázaro Cárdenas n.° 303. Colonia Hacienda de La Sierra,Hacienda de La Sierra,San Pedro Garza García,66260,Nuevo León,San Pedro Garza García,800 999 9225,"Pérez Salazar Jorge Bautista, Director general",www.calidra.com,contacto@calidra.com.mx,"Cal, cal hidratada","Comercialización, extracción",-100.322861,25.645417,apr-25
"Grupo Carso, S.A.B. de C.V.",Grupo,Av. Paseo de las Palmas n.° 781. Colonia Bosque de las Lomas,Lomas de Chapultepec III Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,551 105 6811,"Gómez García Antonio, Director ejecutivo",www.cementosfortaleza.com,contacto@grupocarso.com,Caliza,"Comercialización, extracción",-99.21669,19.42916,apr-25
Grupo Cementos de Chihuahua,Grupo,Vicente Suárez s/n. Colonia Nombre de Dios,Zona Industrial Nombre de Dios,Chihuahua,31105,Chihuahua,Chihuahua,614 442 7500,"Calderón Salas Harry Mario, Gerente corporativo de materias primas / Escalante Ochoa Héctor Enrique, Director general / González Lechuga Jesús Rogelio, Director técnico de operaciones",www.gcc.com,hcalderons@gcc.com / investors@gcc.com / rgonzalez@gcc.com,"Agregados pétreos, block, caliza, cemento, concreto premezclado, fierro, yeso para construcción","Comercialización, extracción, fabricación",-106.086795,28.688132,apr-25
"Grupo Ferrominero, S.A. de C.V.",Grupo,Pedro Ramírez Vázquez n.° 200-10. Colonia Centro,Villas de Santa Engracia,San Pedro Garza García,66268,Nuevo León,San Pedro Garza García,818 152 1500,"Rivero Larrea José Antonio, Director general",www.ferrominero.com,jose.rivero@ferrominero.com,Ferromanganeso alto y medio carbón,"Comercialización, extracción",-100.393665,25.679667,apr-25
"Grupo Fertinal, S.A. de C.V.",Grupo,Teopanzolco n.° 408. Colonia Reforma,Reforma,Cuernavaca,62260,Morelos,Cuernavaca,612 150 9700,s/i,www.grupofertinal.com.mx,contacto@fertinal.com,Roca fosfórica,Comercialización,-99.222784,18.938695,apr-25
Grupo Gorsa,Grupo,C. 9 pte. Sur n.° 172. Colonia El Cerrito,El Cerrito,Tuxtla Gutiérrez,29066,Chiapas,Tuxtla Gutiérrez,961 618 9100,"Ferrera Vitaliano, Asesor comercial",s/i,atencionaclientes@grupogorsa.com.mx,Agregados pétreos,Comercialización,-93.124111,16.754139,apr-25
"Grupo Industrial Monclova, S.A. de C.V.",Grupo,Blvd. Harold R. Pape n.° 803-B. Colonia Guadalupe,Guadalupe,Monclova,25750,Coahuila de Zaragoza,Monclova,866 649 2500,s/i,cegimsa.com.mx,comunicacion@cegimsa.com.mx,"Agregados pétreos, cal",Comercialización,-101.427917,26.914972,apr-25
Grupo Industrial Procon,Grupo,Anillo Periférico n.° 12512. Colonia Pacabtún Oriente,Pacabtún,Mérida,97160,Yucatán,Mérida,999 930 1100,"Mafud Ricardo Abraham, Director general",procon.com.mx,s/i,Agregados pétreos,"Distribución de material de construcción, fabricación",-89.569034,20.982272,apr-25
Grupo Industrial Roche,Grupo,Av. Prolongación Paseo Montejo 333. Colonia Benito Juárez Nte.,Benito Juárez Nte.,Mérida,97119,Yucatán,Mérida,999 942 3500,"Palomeque Roche José Rafael, Director general",www.gruporoche.com.mx,jpal@isysa.com.mx,Sal,Comercialización,-89.620111,21.020634,apr-25
Grupo Industrial Rubio,Grupo,"Bosque de Alisos n.° 47, int. 2-42. Colonia Bosques de las Lomas",Bosques de las Lomas,Cuajimalpa de Morelos,5120,Ciudad de México,Cuajimalpa de Morelos,993 354 4782,s/i,grubio.com,contacto@grubio.com,"Agregados pétreos, caliza","Explotación, extracción",-92.959269,17.987402,apr-25
"Grupo Intermármol, S.A. de C.V.",Grupo,Metal Mecánica n.° 247. Colonia Parque Industrial las Américas,Parque Industrial las Américas,Torreón,27278,Coahuila de Zaragoza,Torreón,871 729 9230,"Anglí Rosete Fernando, Responsable legal",s/i,fangli@hotmail.com; sales@intermarmol.com,"Cantera, mármol","Comercialización, extracción",-103.368806,25.528056,apr-25
